Type,id,name,type,canonicalUrl,classType,salesUnitType,sellerName,fulfillmentType, Price ,Unit Price
Vegetable,0WPN6BLFII9C,Sweet Potatoes Per Pound,REGULAR,/ip/Sweet-Potatoes-Per-Pound/44390964,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $0.78 ,98.0 Â¢/lb
Vegetable,251LW2FEF6V2,"Fresh Red Bell Pepper, 1 Each",REGULAR,/ip/Fresh-Red-Bell-Pepper-1-Each/44391581,REGULAR,EACH,Walmart.com,STORE, $1.38 ,
Vegetable,2AC0UOJO5MPC,"Russet Potatoes, 10 lb Bag",REGULAR,/ip/Russet-Potatoes-10-lb-Bag/10449951,REGULAR,EACH,Walmart.com,STORE, $5.57 ,55.7 Â¢/lb
Vegetable,6O1D6HVQWU6A,Green Giant Extra Sweet Mini Corn On the Cob 12 ea,REGULAR,/ip/Green-Giant-Extra-Sweet-Mini-Corn-On-the-Cob-12-ea/10813651,REGULAR,EACH,Walmart.com,STORE, $4.93 ,41.1 Â¢/ea
Vegetable,7AFJU9XIBHIA,"Fresh Long English Cucumber, Each",REGULAR,/ip/Fresh-Long-English-Cucumber-Each/44390996?athbdg=L1600,REGULAR,EACH,Walmart.com,STORE, $1.48 ,
Vegetable,5MHHYIEEB4FB,"Baby Yellow Potatoes, 1.5 lb Bag",REGULAR,/ip/Baby-Yellow-Potatoes-1-5-lb-Bag/44391123,REGULAR,EACH,Walmart.com,STORE, $3.68 ,$2.45/lb
Vegetable,5X3NF4NARKRO,Green Leaf Lettuce,REGULAR,/ip/Green-Leaf-Lettuce/51259368,REGULAR,EACH,Walmart.com,STORE, $1.98 ,
Vegetable,0U3WY7TQZDKI,"Sweet Potatoes, 3 lb Bag",REGULAR,/ip/Sweet-Potatoes-3-lb-Bag/132720824,REGULAR,EACH,Walmart.com,STORE, $3.17 ,$1.06/lb
Vegetable,68QKKJVI6CAU,"Marketside Butternut Squash, 16 oz",REGULAR,/ip/Marketside-Butternut-Squash-16-oz/51259258,REGULAR,EACH,Walmart.com,STORE, $3.18 ,19.9 Â¢/oz
Vegetable,2190E1UDPEF0,"Cherry Tomato, 10 oz",REGULAR,/ip/Cherry-Tomato-10-oz/51259344,REGULAR,EACH,Walmart.com,STORE, $3.12 ,31.2 Â¢/oz
Vegetable,3W88Z942PTFK,"Red Potatoes, 5lb bag",REGULAR,/ip/Red-Potatoes-5lb-bag/10449950,REGULAR,EACH,Walmart.com,STORE, $6.28 ,$1.26/lb
Vegetable,7A0AYF60QDTO,"Sweet Corn On The Cob, Fresh Corn, 4 Pack, 20 oz",,/ip/Sweet-Corn-On-The-Cob-Fresh-Corn-4-Pack-20-oz/51259410,,EACH,,, $4.87 ,24.4 ¢/oz
Vegetable,12KBLUQBLOPD,"Marketside Sweet Potato Cubes, 16 oz",,/ip/Marketside-Sweet-Potato-Cubes-16-oz/817773702,,EACH,,, $3.18 ,19.9 ¢/oz
Vegetable,4WXPNAC2VYSP,"Fresh Green Beans, average bag 1.6lb",,/ip/Fresh-Green-Beans-average-bag-1-6lb/44391023,,EACH_WEIGHT,,, $5.70 ,$1.78/lb
Vegetable,3OHJQVR46M0L,"Gemstone Medley Baby Potatoes, 1.5 lb Bag",,/ip/Gemstone-Medley-Baby-Potatoes-1-5-lb-Bag/48387918,,EACH,,, $3.68 ,$2.45/lb
Vegetable,15SCHH7RMN67,Serrano Pepper,,/ip/Serrano-Pepper/44391143,,WEIGHT,,, $0.67 ,/0.25LB$2.68/lb
Vegetable,4UWZBK4USUMV,"Medley Tomato, 10 oz",,/ip/Medley-Tomato-10-oz/54082903,,EACH,,, $4.48 ,37.3 ¢/oz
Vegetable,57WU8036ZQYQ,"Romaine Lettuce, each",,/ip/Romaine-Lettuce-each/44391114,,EACH,,, $1.98 ,
Vegetable,3YRMO117XB8X,"Marketside Snow Peas, 8 oz",,/ip/Marketside-Snow-Peas-8-oz/13399615,,EACH,,, $2.78 ,34.8 ¢/oz
Vegetable,1ACO596ONZ24,"Baby Red Potatoes, 1.5 lb Bag",,/ip/Baby-Red-Potatoes-1-5-lb-Bag/45127027,,EACH,,, $3.68 ,$2.45/lb
Vegetable,0X6TQ4VDCE21,"Packaged Slicing Tomato, 16 oz",,/ip/Packaged-Slicing-Tomato-16-oz/39103253,,EACH,,, $2.98 ,$1.49/ea
Vegetable,53B25J6FO0BB,"Idaho Potatoes, 5 lb Bag",REGULAR,/ip/Idaho-Potatoes-5-lb-Bag/10447839,REGULAR,EACH,Walmart.com,STORE, $4.77 ,95.4 Â¢/lb
Vegetable,2S7IBHQFDQWM,"Premium Grape Tomato, 16 oz",REGULAR,/ip/Premium-Grape-Tomato-16-oz/45619133,REGULAR,EACH,Walmart.com,STORE, $4.48 ,24.9 Â¢/oz
Vegetable,67FK8A6MNESM,"Fresh Poblano Pepper, Each",REGULAR,/ip/Fresh-Poblano-Pepper-Each/44391135,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $0.62 ,$2.48/lb
Vegetable,6O1I7C61WSQT,"Yellow Potatoes, 5lb Bag",REGULAR,/ip/Yellow-Potatoes-5lb-Bag/184310759,REGULAR,EACH,Walmart.com,STORE, $4.98 ,99.6 Â¢/lb
Vegetable,2P8GBRH4UR5Y,"Fresh Yellow Bell Pepper, Each",REGULAR,/ip/Fresh-Yellow-Bell-Pepper-Each/44391602,REGULAR,EACH,Walmart.com,STORE, $1.38 ,
Vegetable,77DLF950L2VD,"Microwave-Ready Russet Potato, each",REGULAR,/ip/Microwave-Ready-Russet-Potato-each/10449947,REGULAR,EACH,Walmart.com,STORE, $1.28 ,
Vegetable,3B51ODJTK9OY,"Fresh Acorn Squash, Each",REGULAR,/ip/Fresh-Acorn-Squash-Each/44391565,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $1.77 ,$1.18/lb
Vegetable,57SSCN31D7EO,"Steamables Sweet Potatoes, 1.5 lb Bag",REGULAR,/ip/Steamables-Sweet-Potatoes-1-5-lb-Bag/51259399,REGULAR,EACH,Walmart.com,STORE, $2.94 ,12.3 Â¢/oz
Vegetable,5BG0KT40EVV6,Butter Lettuce,REGULAR,/ip/Butter-Lettuce/44391110,REGULAR,EACH,Walmart.com,STORE, $2.48 ,
Vegetable,2E7N2PJZLZN4,"Organic Romaine Lettuce Hearts, 3 Pack",REGULAR,/ip/Organic-Romaine-Lettuce-Hearts-3-Pack/189196217,REGULAR,EACH,Walmart.com,STORE, $3.46 ,$1.15/ea
Vegetable,6ZVCHWGQIP7Q,"The Little Potato Company Microwave-Ready Savory Herb Potatoes, 1 Lb.",REGULAR,/ip/The-Little-Potato-Company-Microwave-Ready-Savory-Herb-Potatoes-1-Lb/44391543,REGULAR,EACH,Walmart.com,STORE, $4.68 ,$4.68/lb
Vegetable,1Z1YIRV37FWI,"Fresh Orange Bell Pepper, 1 Each",REGULAR,/ip/Fresh-Orange-Bell-Pepper-1-Each/44391003,REGULAR,EACH,Walmart.com,STORE, $1.38 ,
Vegetable,55I0P9V0KIWW,"Packaged Grape Tomato, 10 oz",REGULAR,/ip/Packaged-Grape-Tomato-10-oz/981077201,REGULAR,EACH,Walmart.com,STORE, $3.10 ,31.0 Â¢/oz
Vegetable,7GKKVY8SUP54,"Fresh Organic Zucchini Squash, 2 Count",REGULAR,/ip/Fresh-Organic-Zucchini-Squash-2-Count/46521533,REGULAR,EACH,Walmart.com,STORE, $2.96 ,
Vegetable,5MI97O8TW8UE,"Organic Grape Tomato, 10 oz",REGULAR,/ip/Organic-Grape-Tomato-10-oz/51259301,REGULAR,EACH,Walmart.com,STORE, $3.00 ,30.0 Â¢/oz
Vegetable,3XVIEOEDWFAF,"Marketside Shredded Iceberg Lettuce, 16 oz",REGULAR,/ip/Marketside-Shredded-Iceberg-Lettuce-16-oz/39104764,REGULAR,EACH,Walmart.com,STORE, $2.87 ,17.9 Â¢/oz
Vegetable,64VTYO3LSKQS,"Frseh Spaghetti Squash, Each",REGULAR,/ip/Frseh-Spaghetti-Squash-Each/44391085,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $5.90 ,$1.18/lb
Vegetable,6GT52DH0HWPZ,"Cocktail Tomato, 16 oz",REGULAR,/ip/Cocktail-Tomato-16-oz/948904558,REGULAR,EACH,Walmart.com,STORE, $2.98 ,18.6 Â¢/oz
Vegetable,7H2HG7ML3OF7,"Fresh Chayote Squash, Each",REGULAR,/ip/Fresh-Chayote-Squash-Each/44391306,REGULAR,EACH,Walmart.com,STORE, $1.13 ,$1.13/lb
Vegetable,59U5JZV3MUIC,"Jumbo Russet Potatoes, 8 lb Bag",REGULAR,/ip/Jumbo-Russet-Potatoes-8-lb-Bag/10447838,REGULAR,EACH,Walmart.com,STORE, $7.38 ,92.3 Â¢/lb
Vegetable,5KS81USWNIRP,"Fresh Butternut Squash, Each",REGULAR,/ip/Fresh-Butternut-Squash-Each/44391159,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $4.13 ,$1.18/lb
Vegetable,1OL510XQWCGX,"Fresh Organic Mini Cucumbers, 1lb bag",REGULAR,/ip/Fresh-Organic-Mini-Cucumbers-1lb-bag/704747922,REGULAR,EACH,Walmart.com,STORE, $3.46 ,
Vegetable,436HWUXWAZGY,"The Little Potato Company Microwave Ready Garlic Parsley Potatoes , 1 Lb.",REGULAR,/ip/The-Little-Potato-Company-Microwave-Ready-Garlic-Parsley-Potatoes-1-Lb/44391520,REGULAR,EACH,Walmart.com,STORE, $4.68 ,$4.68/lb
Vegetable,25DXWEO0MD29,"Fresh Tomatillos, by weight",REGULAR,/ip/Fresh-Tomatillos-by-weight/43923235,REGULAR,WEIGHT,Walmart.com,STORE, $1.88 ,
Vegetable,7FHKN4IDN1LT,"Marketside Sugar Snap Peas, 16 oz",REGULAR,/ip/Marketside-Sugar-Snap-Peas-16-oz/962321127,REGULAR,EACH,Walmart.com,STORE, $6.18 ,30.9 Â¢/oz
Vegetable,5A9Z9VYB6YG1,"Marketside Green Beans, 32 oz",REGULAR,/ip/Marketside-Green-Beans-32-oz/16401583,REGULAR,EACH,Walmart.com,STORE, $6.18 ,19.3 Â¢/oz
Vegetable,5M2IQRHT84N5,"Microwave-Ready Sweet Potato, each",REGULAR,/ip/Microwave-Ready-Sweet-Potato-each/51259402,REGULAR,EACH,Walmart.com,STORE, $1.48 ,
Vegetable,7I7BNCXJFAVD,"Fresh Serrano Pepper, 4 oz bag",REGULAR,/ip/Fresh-Serrano-Pepper-4-oz-bag/592682060,REGULAR,EACH,Walmart.com,STORE, $1.58 ,
Vegetable,5EEYP2VEQNGN,"Red Potatoes, each",REGULAR,/ip/Red-Potatoes-each/51259398,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $0.41 ,$1.38/lb
Vegetable,1JE4ONBIH37X,Green Leaf Lettuce Filet,REGULAR,/ip/Green-Leaf-Lettuce-Filet/51259274,REGULAR,EACH,Walmart.com,STORE, $2.97 ,42.4 Â¢/oz
Vegetable,224956H831CK,"Fresh Organic Long English Cucumber, Each",REGULAR,/ip/Fresh-Organic-Long-English-Cucumber-Each/130040291,REGULAR,EACH,Walmart.com,STORE, $2.46 ,$2.46/oz
Vegetable,4C3G0VAYUQUR,"Marketside Organic Gold Potatoes, 3 lb Bag",REGULAR,/ip/Marketside-Organic-Gold-Potatoes-3-lb-Bag/49511107,REGULAR,EACH,Walmart.com,STORE, $6.48 ,$2.16/lb
Vegetable,5FWXD46MYOPI,Organic Iceberg Lettuce,REGULAR,/ip/Organic-Iceberg-Lettuce/44391077,REGULAR,EACH,Walmart.com,STORE, $2.56 ,
Vegetable,6G125G044HUQ,"Fresh Anaheim Peppers, 1lb bag",REGULAR,/ip/Fresh-Anaheim-Peppers-1lb-bag/430906516,REGULAR,EACH,Walmart.com,STORE, $2.68 ,
Vegetable,5C7VEGIAHLO3,"Fresh Organic Color Bell Peppers, 2 count",REGULAR,/ip/Fresh-Organic-Color-Bell-Peppers-2-count/189907444,REGULAR,EACH,Walmart.com,STORE, $3.46 ,$1.73/ea
Vegetable,1LBMBELX0Y7O,"Marketside Organic Red Potatoes, 3 lb Bag",REGULAR,/ip/Marketside-Organic-Red-Potatoes-3-lb-Bag/836303521,REGULAR,EACH,Walmart.com,STORE, $6.98 ,$2.33/lb
Vegetable,6E2Y4U2S1Z47,Organic Sweet Potatoes 3 Lb Bag,REGULAR,/ip/Organic-Sweet-Potatoes-3-Lb-Bag/12444523,REGULAR,EACH,Walmart.com,STORE, $5.76 ,$1.92/lb
Vegetable,5ZJWXDQOCVT5,"Marketside Organic Russet Potatoes, 3 lb Bag",REGULAR,/ip/Marketside-Organic-Russet-Potatoes-3-lb-Bag/10447841,REGULAR,EACH,Walmart.com,STORE, $3.88 ,$1.29/lb
Vegetable,1NFHZS5IMV2F,"Louisiana Pepper Exchange, Cayenne Pepper Puree, 4 oz",REGULAR,/ip/Louisiana-Pepper-Exchange-Cayenne-Pepper-Puree-4-oz/916113879,REGULAR,EACH,ASPIN & WILLIAMS WHOLESALE INC,MARKETPLACE, $21.00 ,
Vegetable,0WLZEHZECZ01,"Carrots, Tomatoes & Broccoli Snack Tray with Hidden Valley Ranch Dressing , 7 oz",REGULAR,/ip/Carrots-Tomatoes-Broccoli-Snack-Tray-with-Hidden-Valley-Ranch-Dressing-7-oz/22257774,REGULAR,EACH,Walmart.com,STORE, $2.97 ,42.4 Â¢/oz
Vegetable,792912090,Japanese Sweet Potato (Murasaki) (Shipping Included),VARIANT,/ip/Japanese-Sweet-Potato-Murasaki-Shipping-Included/792912090,VARIANT,EACH,Congo Tropicals,MARKETPLACE, $34.72 ,
Vegetable,73Z4EAPWZTAN,"Cayenne Pepper by Its Delish Medium Jar, 7 Oz",VARIANT,/ip/Cayenne-Pepper-by-Its-Delish-Medium-Jar-7-Oz/134235835,VARIANT,EACH,It's Delish,MARKETPLACE, $54.99 ,
Vegetable,277FLCE19XO2,Dehydrated Dried Crushed Chilies Red Pepper Flakes by It's Delish - 22 Oz Jumbo Reusable Container - Sealed to Maintain Freshness - Chopped & Dried Vegetable Gourmet Spice Seasoning - Certified Kosher,REGULAR,/ip/Dehydrated-Dried-Crushed-Chilies-Red-Pepper-Flakes-It-s-Delish-22-Oz-Jumbo-Reusable-Container-Sealed-Maintain-Freshness-Chopped-Vegetable-Gourmet-Spi/289080526,REGULAR,EACH,It's Delish,MARKETPLACE, $28.79 ,
Vegetable,2RKAK1H46IQS,Dehydrated Dried Green Bell Pepper by It's Delish - 12 Oz Jumbo Reusable Container - Sealed to Maintain Freshness - Chopped & Dried Vegetable Spice Seasoning,REGULAR,/ip/Dehydrated-Dried-Green-Bell-Pepper-It-s-Delish-12-Oz-Jumbo-Reusable-Container-Sealed-Maintain-Freshness-Chopped-Vegetable-Spice-Seasoning/506381936,REGULAR,EACH,It's Delish,MARKETPLACE, $30.59 ,
Vegetable,6EYIT1HRZE8Y,Dehydrated Dried Red Bell Pepper by It's Delish - 18 Oz Jumbo Reusable Container - Sealed to Maintain Freshness - Chopped & Dried Vegetable Spice Seasoning,REGULAR,/ip/Dehydrated-Dried-Red-Bell-Pepper-It-s-Delish-18-Oz-Jumbo-Reusable-Container-Sealed-Maintain-Freshness-Chopped-Vegetable-Spice-Seasoning/345028139,REGULAR,EACH,It's Delish,MARKETPLACE, $33.29 ,
Vegetable,1L7OYZP34K89,Dehydrated Dried Red and Green Bell Peppers Mix by It's Delish -  16 Oz 1 lb Jumbo Reusable Container - Sealed to Maintain Freshness - Chopped & Dried Vegetable Spice Seasoning,REGULAR,/ip/Dehydrated-Dried-Red-Green-Bell-Peppers-Mix-It-s-Delish-16-Oz-1-lb-Jumbo-Reusable-Container-Sealed-Maintain-Freshness-Chopped-Vegetable-Spice-Seasoni/642791346,REGULAR,EACH,It's Delish,MARKETPLACE, $35.09 ,
Vegetable,63QWW0HTGU6A,"Cayenne Pepper by Its Delish, 5 LBS Restaurant Gallon Size Jug With handle  All Natural Ground Hot Red Pepper Powder",REGULAR,/ip/Cayenne-Pepper-by-Its-Delish-5-LBS-Restaurant-Gallon-Size-Jug-With-handle-All-Natural-Ground-Hot-Red-Pepper-Powder/499889233,REGULAR,EACH,It's Delish,MARKETPLACE, $52.19 ,
Vegetable,70GFKRWCJPTU,"Packaged Slicing Tomato, 16 oz",REGULAR,/ip/Packaged-Slicing-Tomato-16-oz/15724257,REGULAR,EACH,Walmart.com,STORE, $1.50 ,
Vegetable,2VJ7FY925RLY,Cubanelle Peppers,REGULAR,/ip/Cubanelle-Peppers/104689162,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $0.52 ,$2.58/lb
Vegetable,2C7EL0B063O2,Crunch Lettuce 12oz,REGULAR,/ip/Crunch-Lettuce-12oz/987484376,REGULAR,EACH,Walmart.com,FC, $2.97 ,37.1 Â¢/oz
Vegetable,1EGAMV6753GR,"Packaged Grape Tomato, 10 oz",REGULAR,/ip/Packaged-Grape-Tomato-10-oz/542955132,REGULAR,EACH,Walmart.com,STORE, $3.10 ,
Vegetable,3HPL5DBRS5OI,"Cherry on the Vine Tomato, 12 oz",REGULAR,/ip/Cherry-on-the-Vine-Tomato-12-oz/557689776,REGULAR,EACH,Walmart.com,STORE, $3.98 ,33.2 Â¢/oz
Vegetable,46W666RFPM2W,"Fresh Anaheim Pepper, each",REGULAR,/ip/Fresh-Anaheim-Pepper-each/44391184,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $0.50 ,$2.48/lb
Vegetable,1MCEWS1L4IEA,Cayenne Pepper - 10 Lb Bag,REGULAR,/ip/Cayenne-Pepper-10-Lb-Bag/806460093,REGULAR,EACH,It's Delish,MARKETPLACE, $53.99 ,
Vegetable,287RCWO2HE4I,Laodicea Roasted Peppers with Garlic,REGULAR,/ip/Laodicea-Roasted-Peppers-with-Garlic/836939804,REGULAR,EACH,"Najib EST, Inc",MARKETPLACE, $18.99 ,
Vegetable,5YUVQ3SQH7WP,"Gourmet212 Roasted Red Pepper 6lb 8.06oz, Tin, Canned, Fresh",REGULAR,/ip/Gourmet212-Roasted-Red-Pepper-6lb-8-06oz-Tin-Canned-Fresh/163078622,REGULAR,EACH,gourmet212,MARKETPLACE, $37.95 ,
Vegetable,286BR321MA1H,Congo Chayote (Mirliton) Squash White (Shipping Included),VARIANT,/ip/Congo-Chayote-Mirliton-Squash-White-Shipping-Included/992687878,VARIANT,EACH,Congo Tropicals,MARKETPLACE, $38.13 ,
Vegetable,6Y98S019KU4N,Congo Chayote (Mirliton) Squash Black (Shipping Included),VARIANT,/ip/Congo-Chayote-Mirliton-Squash-Black-Shipping-Included/468884278,VARIANT,EACH,Congo Tropicals,MARKETPLACE, $33.18 ,
Vegetable,3X6VAVETFJSN,Congo Chayote (Mirliton) Squash Green (Shipping Included),VARIANT,/ip/Congo-Chayote-Mirliton-Squash-Green-Shipping-Included/735011307,VARIANT,EACH,Congo Tropicals,MARKETPLACE, $30.85 ,
Vegetable,3ZEROLMR363Q,"Gourmet212 Roasted Red Pepper 6lb 8.06oz (6 Pack), Tip Can, Fresh",REGULAR,/ip/Gourmet212-Roasted-Red-Pepper-6lb-8-06oz-6-Pack-Tip-Can-Fresh/977203341,REGULAR,EACH,gourmet212,MARKETPLACE, $124.95 ,
Vegetable,73J2NT8CWDTZ,"Premium Grape Tomato, 24 oz",REGULAR,/ip/Premium-Grape-Tomato-24-oz/29235574,REGULAR,EACH,Walmart.com,STORE, $3.10 ,19.4 Â¢/fl oz
Vegetable,2K3KXBRF9VJS,"Organic Roma Tomatoes, 16 oz Bag",REGULAR,/ip/Organic-Roma-Tomatoes-16-oz-Bag/784338229,REGULAR,EACH,Walmart.com,STORE, $2.46 ,$1.23/ea
Vegetable,475VRYESZNGK,Fieldpack Unbranded Leaf Lettuce Romaine,REGULAR,/ip/Fieldpack-Unbranded-Leaf-Lettuce-Romaine/672908898,REGULAR,EACH,Walmart.com,STORE, $2.97 ,
Vegetable,760LV9LXDXIH,"Russet Potatoes, 20 lb bag",REGULAR,/ip/Russet-Potatoes-20-lb-bag/10447840,REGULAR,EACH,Walmart.com,FC, $7.68 ,38.4 Â¢/lb
Vegetable,6XNDXTLZX0O6,"Misionero Vegetables Garden Life  Lettuce Wraps, 7 oz",REGULAR,/ip/Misionero-Vegetables-Garden-Life-Lettuce-Wraps-7-oz/349371197,REGULAR,EACH,Walmart.com,FC, $2.97 ,42.4 Â¢/oz
Vegetable,2N9ACJLDYUCR,"Organic Sweet Potatoes, 3 Count Tray",REGULAR,/ip/Organic-Sweet-Potatoes-3-Count-Tray/555660764,REGULAR,EACH,Walmart.com,FC, $4.97 ,
Fruit,6APXYOV4GBIA,"Envy Apples, Bulk",REGULAR,/ip/Envy-Apples-Bulk/51259330,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $1.37 ,$2.28/lb
Fruit,58PDPVQ08J0Q,"Anjou Pears, Bulk",REGULAR,/ip/Anjou-Pears-Bulk/51259204,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $1.24 ,$1.77/lb
Fruit,6ED4F8QT0VUS,"Fresh Strawberries, 1 lb",REGULAR,/ip/Fresh-Strawberries-1-lb/44391605?athbdg=L1600,REGULAR,EACH,Walmart.com,STORE, $2.12 ,13.3 Â¢/oz
Fruit,5TWZI3ZO2728,"Fresh Strawberries, 2 lb",REGULAR,/ip/Fresh-Strawberries-2-lb/22660282,REGULAR,EACH,Walmart.com,STORE, $4.14 ,12.9 Â¢/oz
Fruit,1OEVT596KTX8,"Plums, each",REGULAR,/ip/Plums-each/44391147,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $0.79 ,$2.63/lb
Fruit,3JUJ2NIWX8S0,"Freshness Guaranteed Gala Apples, 3 lb Bag",REGULAR,/ip/Freshness-Guaranteed-Gala-Apples-3-lb-Bag/44390958,REGULAR,EACH,Walmart.com,STORE, $4.52 ,$1.51/lb
Fruit,1KCI0YHKOIQ6,"Freshness Guaranteed Cut Watermelon, 16 oz",REGULAR,/ip/Freshness-Guaranteed-Cut-Watermelon-16-oz/492909841,REGULAR,EACH,Walmart.com,STORE, $4.48 ,28.0 Â¢/oz
Fruit,67M5TQMFFALI,"Fresh Raspberries, 12 oz",REGULAR,/ip/Fresh-Raspberries-12-oz/44390957,REGULAR,EACH,Walmart.com,STORE, $5.94 ,49.5 Â¢/oz
Fruit,1WOOIHT4KU9H,"Seedless Watermelon, each",REGULAR,/ip/Seedless-Watermelon-each/44391101,REGULAR,EACH,Walmart.com,STORE, $3.98 ,Was $6.88
Fruit,5ZD40VDK9O2W,"Personal Watermelon, each",REGULAR,/ip/Personal-Watermelon-each/44390986,REGULAR,EACH,Walmart.com,STORE, $3.48 ,
Fruit,5DNGLYDVBGGL,"Freshness Guaranteed Cut Watermelon, 10 oz",REGULAR,/ip/Freshness-Guaranteed-Cut-Watermelon-10-oz/44391299,REGULAR,EACH,Walmart.com,STORE, $3.24 ,32.4 Â¢/oz
Fruit,51Y5IYU8THJN,"Bartlett Pears, Bulk",REGULAR,/ip/Bartlett-Pears-Bulk/215642748,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $1.48 ,$2.12/lb
Fruit,379VJ4AMO3EX,"Honeycrisp Apples, Bulk",REGULAR,/ip/Honeycrisp-Apples-Bulk/44390950,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $1.63 ,$2.72/lb
